name,capital,region,subregion,population,area,latitude,longitude,density,fecha_extraccion
Israel,Jerusalem,Asia,Western Asia,10134800,21937.0,31.47,35.13,461.9957150020513,2026-04-14T16:56:47.773799
Nigeria,Abuja,Africa,Western Africa,223800000,923768.0,10.0,8.0,242.26862155865976,2026-04-14T16:56:47.773813
Honduras,Tegucigalpa,Americas,Central America,9892632,112492.0,15.0,-86.5,87.94076023183871,2026-04-14T16:56:47.773820
Sierra Leone,Freetown,Africa,Western Africa,9077691,71740.0,8.5,-11.5,126.53597713967103,2026-04-14T16:56:47.773827
Tunisia,Tunis,Africa,Northern Africa,11972169,163610.0,34.0,9.0,73.17504431269482,2026-04-14T16:56:47.773834
Lithuania,Vilnius,Europe,Northern Europe,2894886,65300.0,56.0,24.0,44.332098009188364,2026-04-14T16:56:47.773841
Iraq,Baghdad,Asia,Western Asia,46118793,438317.0,33.0,44.0,105.21789709274339,2026-04-14T16:56:47.773848
Switzerland,Bern,Europe,Western Europe,9082848,41284.0,47.0,8.0,220.00891386493558,2026-04-14T16:56:47.773858
Chile,Santiago,Americas,South America,20206953,756102.0,-30.0,-71.0,26.72516803288445,2026-04-14T16:56:47.773867
Taiwan,Taipei,Asia,Eastern Asia,23317031,36197.0,23.5,121.0,644.1702627289554,2026-04-14T16:56:47.773876
Vietnam,Hanoi,Asia,South-Eastern Asia,101343800,331212.0,16.16666666,107.83333333,305.9786481166141,2026-04-14T16:56:47.773893
Bangladesh,Dhaka,Asia,Southern Asia,169828911,147570.0,24.0,90.0,1150.8362878633868,2026-04-14T16:56:47.773905
Vanuatu,Port Vila,Oceania,Melanesia,321409,12189.0,-16.0,167.0,26.368775125112805,2026-04-14T16:56:47.773920
Pakistan,Islamabad,Asia,Southern Asia,241499431,796095.0,30.0,70.0,303.3550405416439,2026-04-14T16:56:47.773931
Latvia,Riga,Europe,Northern Europe,1829000,64559.0,57.0,25.0,28.33067426694961,2026-04-14T16:56:47.773938
Malta,Valletta,Europe,Southern Europe,574250,316.0,35.9375,14.3754,1817.246835443038,2026-04-14T16:56:47.773949
Seychelles,Victoria,Africa,Eastern Africa,122729,452.0,-4.58333333,55.66666666,271.52433628318585,2026-04-14T16:56:47.773990
Montserrat,Plymouth,Americas,Caribbean,4386,102.0,16.75,-62.2,43.0,2026-04-14T16:56:47.773999
Anguilla,The Valley,Americas,Caribbean,16010,91.0,18.25,-63.16666666,175.93406593406593,2026-04-14T16:56:47.774006
Greece,Athens,Europe,Southern Europe,10400720,131990.0,39.0,22.0,78.7993029774983,2026-04-14T16:56:47.774013
Czechia,Prague,Europe,Central Europe,10882341,78865.0,49.75,15.5,137.98695238699042,2026-04-14T16:56:47.774019
Zambia,Lusaka,Africa,Eastern Africa,19693423,752612.0,-15.0,30.0,26.166767205412615,2026-04-14T16:56:47.774028
Hong Kong,City of Victoria,Asia,Eastern Asia,7527500,1104.0,22.267,114.188,6818.38768115942,2026-04-14T16:56:47.774036
United States,"Washington, D.C.",Americas,North America,340110988,9525067.0,38.0,-97.0,35.70693917428612,2026-04-14T16:56:47.774044
Eswatini,Mbabane,Africa,Southern Africa,1235549,17364.0,-26.5,31.5,71.15578207786224,2026-04-14T16:56:47.774053
Slovenia,Ljubljana,Europe,Central Europe,2130638,20273.0,46.11666666,14.81666666,105.0973215606965,2026-04-14T16:56:47.774061
Caribbean Netherlands,Kralendijk,Americas,Caribbean,31980,328.0,12.18,-68.25,97.5,2026-04-14T16:56:47.774068
Maldives,Malé,Asia,Southern Asia,515132,300.0,3.25,73.0,1717.1066666666666,2026-04-14T16:56:47.774076
Ghana,Accra,Africa,Western Africa,33742380,238533.0,8.0,-2.0,141.45791148394562,2026-04-14T16:56:47.774083
Paraguay,Asunción,Americas,South America,6109644,406752.0,-23.0,-58.0,15.020562898277083,2026-04-14T16:56:47.774090
Mozambique,Maputo,Africa,Eastern Africa,34090466,801590.0,-18.25,35.0,42.52855699297646,2026-04-14T16:56:47.774099
Palestine,Ramallah,Asia,Western Asia,5483450,6220.0,31.9,35.2,881.5836012861737,2026-04-14T16:56:47.774108
Moldova,Chișinău,Europe,Eastern Europe,2749076,33847.0,47.0,29.0,81.22066948326292,2026-04-14T16:56:47.774118
Liberia,Monrovia,Africa,Western Africa,5248621,111369.0,6.5,-9.5,47.128204437500564,2026-04-14T16:56:47.774127
Liechtenstein,Vaduz,Europe,Western Europe,40900,160.0,47.26666666,9.53333333,255.625,2026-04-14T16:56:47.774135
Peru,Lima,Americas,South America,34350244,1285216.0,-10.0,-76.0,26.727214724995644,2026-04-14T16:56:47.774150
Qatar,Doha,Asia,Western Asia,3173024,11586.0,25.5,51.25,273.86708095977906,2026-04-14T16:56:47.774160
Christmas Island,Flying Fish Cove,Oceania,Australia and New Zealand,1692,135.0,-10.5,105.66666666,12.533333333333333,2026-04-14T16:56:47.774169
Georgia,Tbilisi,Asia,Western Asia,4000921,69700.0,42.0,43.5,57.40202295552367,2026-04-14T16:56:47.774177
Ecuador,Quito,Americas,South America,18103660,276841.0,-2.0,-77.5,65.39370974674993,2026-04-14T16:56:47.774186
Philippines,Manila,Asia,South-Eastern Asia,114123600,342353.0,13.0,122.0,333.3506643727381,2026-04-14T16:56:47.774194
Ethiopia,Addis Ababa,Africa,Eastern Africa,111652998,1104300.0,8.0,38.0,101.10748709589785,2026-04-14T16:56:47.774202
